deposit_id,customer_id,date,transaction_type,amount,currency
DE47653,DO900,1/1/2019,pay_in,10000,EUR
DE47654,DO901,2/1/2019,pay_in,10000,EUR
DE47655,DO902,2/1/2019,pay_in,10000,EUR
UK47656,DO903,3/1/2019,pay_in,10000,GBP
UK47657,DO904,3/1/2019,pay_in,130000,GBP
DE47658,DO905,3/1/2019,pay_in,140000,EUR
DE47659,DO906,3/1/2019,pay_in,10000,EUR
DE47660,DO907,3/1/2019,pay_in,10000,EUR
DE47661,DO908,3/1/2019,pay_in,100000,EUR
DE47662,DO909,4/1/2019,pay_in,10000,EUR
UK47663,DO910,4/1/2019,pay_in,10000,GBP
UK47664,DO911,4/1/2019,pay_in,5000,GBP
UK47665,DO912,4/1/2019,pay_in,4000,GBP
DE47666,DO913,5/1/2019,pay_in,10000,EUR
DE47661,DO908,5/1/2019,pay_out,50000,EUR
DE47667,DO914,11/1/2019,pay_in,30000,EUR
DE47668,DO915,11/1/2019,pay_in,10000,EUR
DE47669,DO916,11/1/2019,pay_in,25000,EUR
DE47670,DO917,11/1/2019,pay_in,50000,EUR
DE47667,DO914,12/1/2019,pay_out,7000,EUR
DE47667,DO914,12/15/2019,pay_in,12000,EUR
DE47671,DO918,1/1/2021,pay_in,9000,EUR
DE47672,DO919,1/1/2021,pay_in,10000,EUR
DE47673,DO920,1/1/2021,pay_in,11000,EUR
DE47674,DO921,1/1/2021,pay_in,12000,EUR
DE47675,DO922,1/1/2021,pay_in,13000,EUR
DE47676,DO923,1/1/2021,pay_in,14000,EUR
DE47677,DO924,1/1/2021,pay_in,30000,EUR
DE47678,DO925,1/1/2021,pay_in,16000,EUR

